央视频道,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.67.226:80/PLTV/88888888/224/3221225816/1653095828-1-1645148791.m3u8
CCTV1,http://39.134.67.226:80/PLTV/88888888/224/3221225816/1653095919-1-1645148800.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/1653096032-1-1648945903.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/1653096156-1-1648945915.m3u8
CCTV1,http://111.40.196.36:80/wh7f454c46tw804430701_2139878386/PLTV/88888888/224/3221225513/1653096202-1-165309620.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/1653096272-1-1651279554.m3u8
CCTV1,http://111.40.196.28:80/wh7f454c46tw756328001_1847905556/PLTV/88888888/224/3221225548/1653096370-1-165309639.m3u8
CCTV1,http://111.40.196.27:80/wh7f454c46tw1214475755_695839843/PLTV/88888888/224/3221225769/1653096416-1-165309645.m3u8
CCTV1,http://39.134.65.179:80/PLTV/88888888/224/3221225816/1653096424-1-1645148851.m3u8
CCTV1,http://39.134.65.181:80/PLTV/88888888/224/3221225816/1653096454-1-1645148854.m3u8
CCTV1,http://39.134.65.173:80/PLTV/88888888/224/3221225816/1653096485-1-1645148857.m3u8
CCTV1,http://39.134.65.183:80/PLTV/88888888/224/3221225816/1653096505-1-1645148859.m3u8
CCTV1,http://39.134.65.175:80/PLTV/88888888/224/3221225816/1653096535-1-1645148862.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/1653097483-1-1648946046.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/1653097662-1-1651279735.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.67.226:80/PLTV/88888888/224/3221225799/1653098229-1-1645149027.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/1653098264-1-1651279802.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/1653098389-1-1648946133.m3u8
CCTV3,http://39.134.65.179:80/PLTV/88888888/224/3221225799/1653098513-1-1645149055.m3u8
CCTV3,http://39.134.65.181:80/PLTV/88888888/224/3221225799/1653098553-1-1645149059.m3u8
CCTV3,http://111.40.196.35:80/wh7f454c46tw3250624498_799752640/PLTV/88888888/224/3221225588/1653098464-1-165309844.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV3,http://hms44nc1972679561.live.aikan.miguvideo.com:80/wh7f454c46tw3554781613_-1436881410/PLTV/88888888/224/3221231682/1653097805-1-1316275.index.m3u8
CCTV3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://hms264nc1972679583.live.aikan.miguvideo.com:80/wh7f454c46tw147482659_169445849/PLTV/88888888/224/3221231726/1653098690-1-1912803.index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/1653099365-1-1648946234.m3u8
CCTV4,http://111.20.33.91:80/PLTV/88888893/224/3221226223/1653099436-1-1597926045.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/1653099693-1-1651279940.m3u8
CCTV5,http://39.134.67.226:80/PLTV/88888888/224/3221225818/1653099794-1-1645149187.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/1653100306-1-1648946332.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/1653100410-1-1648946330.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/1653100451-1-1648946346.m3u8
CCTV5,http://111.40.196.36:80/wh7f454c46tw2804113509_1851235107/PLTV/88888888/224/3221225559/1653100517-1-165310052.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/1653100561-1-1648946356.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/1653100613-1-1648946357.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/1653101252-1-1648946420.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/1653101368-1-1648946432.m3u8
CCTV5,http://111.40.196.35:80/wh7f454c46tw3342451818_52995897/PLTV/88888888/224/3221225668/1653101460-1-165310148.m3u8
CCTV5,http://39.134.65.179:80/PLTV/88888888/224/3221225818/1653101693-1-1645149376.m3u8
CCTV5,http://39.134.65.181:80/PLTV/88888888/224/3221225818/1653102734-1-1645149480.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000064?fmt=ts2hls
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://hms44nc1972679560.live.aikan.miguvideo.com:80/wh7f454c46tw7491514_1802802219/PLTV/88888888/224/3221231459/1653102850-1-1317017.index.m3u8
CCTV5+,http://117.148.179.136:80/PLTV/88888888/224/3221231459/1653102971-1-1317037.index.m3u8
